,Link,Date,ISIN,Issue Date,Coupon,Maturity Date,Months to Maturity,Next Coupon Payment,Coupon Start Date,TK Data,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-11,2025-01-12,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,2025-01-18,2025-01-19,2025-01-20
0,https://markets.businessinsider.com/bonds/canadacd-bonds_202229-Bond-2029-ca135087n670,2025-01-23,CA135087N670,3/29/2022,2.250%,12/1/2029,1772,6/1/2025,6/1/2022,"1,117855494,1330,184",96.6,96.63,96.42,96.34,96.25,,,95.77,95.38,95.65,96.22,96.35,,,96.51
1,https://markets.businessinsider.com/bonds/canadacd-bonds_202329-Bond-2029-ca135087q988,2025-01-23,CA135087Q988,10/13/2023,4.000%,3/1/2029,1497,3/1/2025,3/1/2024,"1,130328741,1330,184",104.07,104.01,103.9,103.87,103.53,,,103.29,102.99,103.24,103.8,103.9,,,104.02
2,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-Bond-2032-ca135087p329,2025-01-23,CA135087P329,8/8/2022,2.500%,12/1/2032,2868,6/1/2025,12/1/2022,"1,120914999,1330,184",95.42,95.19,94.79,94.84,94.38,,,93.93,93.68,93.94,94.63,94.95,,,95.06
3,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-Bond-2034-ca135087r713,2025-01-23,CA135087R713,3/1/2024,3.500%,3/1/2034,3323,3/1/2025,9/1/2024,"1,133356706,1330,184",102.19,101.85,101.54,101.54,100.86,,,100.37,99.92,100.5,101.32,101.66,,,101.82
4,https://markets.businessinsider.com/bonds/canadacd-bonds_202030_series_l443-Bond-2030-ca135087l443,2025-01-23,CA135087L443,10/5/2020,0.500%,12/1/2030,2137,6/1/2025,12/1/2020,"1,57501684,1330,184",86.35,86.35,86.12,86.09,85.76,,,85.42,85.04,85.31,85.9,86.06,,,86.3
5,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-Bond-2031-ca135087n266,2025-01-23,CA135087N266,10/25/2021,1.500%,12/1/2031,2502,6/1/2025,12/1/2021,"1,114466942,1330,184",90.04,89.9,89.7,89.58,89.26,,,88.85,88.42,88.78,89.4,89.69,,,89.88
6,https://markets.businessinsider.com/bonds/canadacd-bonds_202333-Bond-2033-ca135087q723,2025-01-23,CA135087Q723,6/26/2023,3.250%,12/1/2033,3233,6/1/2025,12/1/2023,"1,128007448,1330,184",100.21,99.97,99.66,99.5,99.04,,,98.55,98.06,98.49,99.29,99.65,,,99.78
7,https://markets.businessinsider.com/bonds/canadacd-bonds_202429-Bond-2029-ca135087r895,2025-01-23,CA135087R895,4/8/2024,3.500%,9/1/2029,1681,3/1/2025,9/1/2024,"1,134387959,1330,184",102.22,102.14,102.04,101.98,101.59,,,101.28,101.0,101.27,101.85,101.97,,,102.13
8,https://markets.businessinsider.com/bonds/5_750-canada-government-of-Bond-2033-ca135087xg49,2025-01-23,CA135087XG49,10/15/2001,5.750%,6/1/2033,3050,6/1/2025,12/1/2001,"1,1321208,1330,184",118.37,118.27,117.76,118.335,117.27,,,116.58,115.99,116.58,117.43,117.76,,,117.92
9,https://markets.businessinsider.com/bonds/canadacd-bonds_202328-Bond-2028-ca135087q491,2025-01-23,CA135087Q491,4/21/2023,3.250%,9/1/2028,1316,3/1/2025,9/1/2023,"1,126528699,1330,184",101.1,101.14,100.99,100.94,100.79,,,100.49,100.19,100.42,100.92,101.02,,,101.11
10,https://markets.businessinsider.com/bonds/canadacd-bonds_202131-Bond-2031-ca135087m276,2025-01-23,CA135087M276,4/26/2021,1.500%,6/1/2031,2319,6/1/2025,6/1/2021,"1,111293704,1330,184",90.89,90.79,90.58,90.48,90.14,,,89.74,89.31,89.65,90.35,90.5,,,90.73
11,https://markets.businessinsider.com/bonds/canadacd-bonds_202232-Bond-2032-ca135087n597,2025-01-23,CA135087N597,3/16/2022,2.000%,6/1/2032,2685,6/1/2025,6/1/2022,"1,117606959,1330,184",92.51,92.32,92.13,92.02,91.59,,,91.19,90.79,91.18,91.86,92.11,,,92.24
12,https://markets.businessinsider.com/bonds/canadacd-bonds_202434-Bond-2034-ca135087s216,2025-01-23,CA135087S216,7/12/2024,3.250%,12/1/2034,3598,6/1/2025,12/1/2024,"1,136888775,1330,184",99.99,99.64,99.31,99.42,98.645,,,98.12,97.64,98.32,99.11,99.51,,,99.66
13,https://markets.businessinsider.com/bonds/canadacd-bonds_201728-Bond-2028-ca135087h235,2025-01-23,CA135087H235,8/1/2017,2.000%,6/1/2028,1224,6/1/2025,12/1/2017,"1,37720230,1330,184",97.14,97.07,96.97,97.0,96.71,,,96.48,96.3,96.55,96.97,97.08,,,97.17
14,https://markets.businessinsider.com/bonds/canadacd-bonds_201829-Bond-2029-ca135087j397,2025-01-23,CA135087J397,7/27/2018,2.250%,6/1/2029,1589,6/1/2025,12/1/2018,"1,42965744,1330,184",97.44,97.48,97.28,97.2,96.97,,,96.65,96.32,96.57,97.11,97.23,,,97.38
15,https://markets.businessinsider.com/bonds/5_750-canada-government-of-Bond-2029-ca135087wl43,2025-01-23,CA135087WL43,2/2/1998,5.750%,6/1/2029,1589,6/1/2025,6/1/1998,"1,847359,1330,184",111.69,111.54,111.45,111.37,110.95,,,110.62,110.36,110.64,111.21,111.33,,,111.46
16,https://markets.businessinsider.com/bonds/canadacd-bonds_202228-Bond-2028-ca135087p576,2025-01-23,CA135087P576,10/21/2022,3.500%,3/1/2028,1132,3/1/2025,3/1/2023,"1,122651336,1330,184",101.82,101.82,101.7,101.72,101.52,,,101.26,101.02,101.24,101.58,101.65,,,101.71
17,https://markets.businessinsider.com/bonds/canadacd-bonds_202430-Bond-2030-ca135087s471,2025-01-23,CA135087S471,10/3/2024,2.750%,3/1/2030,1862,3/1/2025,3/1/2025,"1,138913105,16,184",98.81,98.6,98.53,98.54,97.96,,,97.61,97.38,97.76,98.4,98.47,,,98.69
18,https://markets.businessinsider.com/bonds/canadacd-bonds_202334-Bond-2034-ca135087r481,2025-01-23,CA135087R481,12/27/2023,3.000%,6/1/2034,3415,6/1/2025,6/1/2024,"1,131843886,1330,184",98.1,97.75,97.44,97.47,96.78,,,96.3,95.85,96.44,97.26,97.6,,,97.76
19,https://markets.businessinsider.com/bonds/canadacd-bonds_202326-Bond-2026-ca135087p816,2025-01-23,CA135087P816,1/20/2023,3.000%,4/1/2026,432,4/1/2025,4/1/2023,"1,124578091,1330,184",100.05,100.04,100.04,100.06,99.92,,,99.85,99.8,99.9,100.03,100.05,,,100.08
20,https://markets.businessinsider.com/bonds/canadacd-bonds_201526-Bond-2026-ca135087e679,2025-01-23,CA135087E679,7/21/2015,1.500%,6/1/2026,493,6/1/2025,12/1/2015,"1,28975906,1330,184",98.15,98.13,98.15,98.15,97.99,,,97.92,97.86,97.97,98.11,98.17,,,98.2
